timestamp,datetime,bp1,bv1,ap1,av1,bp2,bv2,ap2,av2,bp3,bv3,ap3,av3,bp4,bv4,ap4,av4,bp5,bv5,ap5,av5,bp6,bv6,ap6,av6,bp7,bv7,ap7,av7,bp8,bv8,ap8,av8,bp9,bv9,ap9,av9,bp10,bv10,ap10,av10,
1537189139.37,2018-09-17 20:58:59,6452.79000000,0.00955000,6454.10000000,0.01826200,6450.07000000,2.56633900,6454.11000000,0.00318600,6450.06000000,0.02834900,6454.29000000,0.01642800,6450.04000000,0.50000000,6455.58000000,0.21884600,6450.00000000,2.98919600,6455.59000000,0.61670000,6449.78000000,0.06881800,6455.64000000,0.50000000,6448.55000000,0.50000000,6455.85000000,2.00000000,6447.99000000,0.40070900,6455.97000000,0.19987200,6447.97000000,0.07970200,6456.00000000,0.00618100,6447.08000000,0.50000000,6456.81000000,0.69743500,
1537189142.62,2018-09-17 20:59:02,6452.80000000,2.77986000,6454.10000000,0.01626200,6452.79000000,0.00003400,6454.11000000,0.00318600,6450.08000000,0.00788800,6454.29000000,0.01642800,6450.06000000,0.02834900,6454.31000000,0.50000000,6450.04000000,0.50000000,6455.59000000,0.61670000,6450.00000000,2.98919600,6455.64000000,0.50000000,6449.78000000,0.06881800,6455.85000000,2.00000000,6447.99000000,0.40070900,6455.97000000,0.19987200,6447.97000000,0.07970200,6456.00000000,0.00618100,6447.08000000,0.50000000,6456.81000000,0.69743500,
1537189587.47,2018-09-17 21:06:27,6443.02000000,0.08654300,6445.40000000,0.67215300,6443.01000000,0.00325900,6445.41000000,1.00000000,6443.00000000,0.15000000,6445.43000000,2.00000000,6442.07000000,0.00000700,6445.45000000,0.06000000,6442.00000000,0.65837100,6445.48000000,0.61610000,6438.78000000,0.04717300,6445.51000000,0.15915500,6438.72000000,0.00500000,6445.53000000,3.85207700,6438.43000000,1.01657300,6446.88000000,0.05125000,6438.23000000,1.00000000,6446.90000000,2.00000000,6438.11000000,0.09440800,6446.92000000,12.80000000,
1537189590.6,2018-09-17 21:06:30,6443.02000000,0.15514900,6445.29000000,0.14358600,6443.01000000,0.00325900,6445.30000000,0.02761900,6443.00000000,0.15000000,6445.32000000,1.00000000,6442.07000000,0.00000700,6445.34000000,0.61490000,6442.00000000,0.65837100,6445.38000000,0.05000000,6438.79000000,2.00000000,6445.53000000,3.85207700,6438.78000000,0.04717300,6446.90000000,2.00000000,6438.72000000,0.00500000,6447.00000000,0.15985100,6438.43000000,1.01657300,6447.11000000,1.00000000,6438.23000000,1.00000000,6447.50000000,0.07166700,
1537189593.75,2018-09-17 21:06:33,6443.02000000,0.15858800,6445.27000000,0.19358600,6443.01000000,0.00325900,6445.28000000,0.17061600,6443.00000000,0.15000000,6445.38000000,0.84672600,6442.07000000,0.00000700,6445.53000000,3.85207700,6442.00000000,0.65837100,6445.71000000,0.61550000,6438.78000000,0.04717300,6446.90000000,2.00000000,6438.72000000,0.00500000,6447.00000000,0.15985100,6438.43000000,1.01657300,6447.11000000,1.00000000,6438.23000000,1.00000000,6447.50000000,0.07166700,6438.11000000,0.09440800,6448.37000000,0.06259500,
1537189596.91,2018-09-17 21:06:36,6443.02000000,0.13235300,6445.38000000,0.64961700,6443.01000000,0.00325900,6445.53000000,3.85207700,6443.00000000,0.16800700,6445.71000000,0.61550000,6442.07000000,0.00000700,6446.90000000,2.00000000,6442.00000000,0.65837100,6447.00000000,0.15985100,6438.78000000,0.09717300,6447.11000000,1.00000000,6438.72000000,0.00500000,6447.50000000,0.07166700,6438.43000000,1.01657300,6448.37000000,0.06259500,6438.23000000,1.00000000,6449.04000000,0.37200000,6438.11000000,0.09440800,6450.00000000,0.15515700,
1537189607.43,2018-09-17 21:06:47,6443.01000000,0.15515900,6444.99000000,0.04949600,6443.00000000,0.00445100,6445.00000000,0.01165800,6442.07000000,0.00000700,6445.37000000,0.14575500,6442.00000000,0.65837100,6445.53000000,2.46177900,6438.78000000,0.09717300,6446.90000000,2.00000000,6438.72000000,0.00500000,6446.97000000,0.01613900,6438.43000000,1.01657300,6447.11000000,1.00000000,6438.23000000,1.00000000,6448.03000000,0.07422700,6438.16000000,0.50000000,6448.04000000,0.61740000,6438.11000000,0.09440800,6448.37000000,0.06259500,
1537189610.77,2018-09-17 21:06:50,6443.03000000,0.10665000,6445.36000000,0.07130000,6443.00000000,0.00445100,6445.37000000,0.10619100,6442.07000000,0.00323900,6445.53000000,2.50005600,6442.00000000,0.65837100,6446.90000000,2.00000000,6441.80000000,0.50000000,6446.97000000,0.01613900,6440.00000000,0.03466300,6447.11000000,1.00000000,6438.78000000,0.09717300,6448.03000000,0.07422700,6438.72000000,0.00500000,6448.37000000,0.06259500,6438.43000000,1.01657300,6449.04000000,0.37200000,6438.23000000,1.00000000,6449.23000000,0.60860000,
1537189614.13,2018-09-17 21:06:54,6443.07000000,0.12978400,6445.00000000,0.15985100,6443.06000000,2.00000000,6445.33000000,0.06849800,6443.05000000,0.05000000,6445.37000000,0.10619100,6443.00000000,0.00445100,6445.53000000,2.50005600,6442.07000000,0.00323900,6446.97000000,0.01613900,6442.00000000,0.65837100,6447.11000000,1.00000000,6440.02000000,0.50000000,6448.37000000,0.06259500,6440.00000000,0.03466300,6449.04000000,0.99170000,6438.78000000,0.04717300,6450.00000000,0.15515700,6438.72000000,0.00500000,6450.01000000,0.00564500,
1537189617.36,2018-09-17 21:06:57,6443.11000000,0.08576500,6444.99000000,0.03839400,6443.10000000,0.09997200,6445.00000000,0.15985100,6443.05000000,0.05000000,6445.37000000,0.10619100,6443.00000000,0.00445100,6445.53000000,2.50005600,6442.07000000,0.00323900,6446.36000000,0.06467100,6442.00000000,0.65837100,6446.97000000,0.01613900,6440.02000000,0.50000000,6447.11000000,1.00000000,6440.00000000,0.03466300,6448.37000000,0.06259500,6438.78000000,0.04717300,6449.04000000,0.99170000,6438.72000000,0.00500000,6450.00000000,0.15515700,
