Timestamp,datetime,symbol,high,low,open,close,volume,Date,Time,High,Low,Open,Close,TotalVolume
1537142400,2018-09-17 08:00:00,EOSUSDT,5.4194,5.4069,5.4069,5.4086,7589.4,2018-09-17,08:00:00,5.4194,5.4069,5.4069,5.4086,758940
1537142460,2018-09-17 08:01:00,EOSUSDT,5.4279,5.4121,5.4121,5.4279,1382.06,2018-09-17,08:01:00,5.4279,5.4121,5.4121,5.4279,138206
1537142520,2018-09-17 08:02:00,EOSUSDT,5.4272,5.4184,5.4189,5.4234,2139.75,2018-09-17,08:02:00,5.4272,5.4184,5.4189,5.4234,213975
1537142580,2018-09-17 08:03:00,EOSUSDT,5.4267,5.4187,5.4207,5.4239,8381.12,2018-09-17,08:03:00,5.4267,5.4187,5.4207,5.4239,838112
1537142640,2018-09-17 08:04:00,EOSUSDT,5.43,5.4216,5.4216,5.4218,6902.2,2018-09-17,08:04:00,5.43,5.4216,5.4216,5.4218,690220
1537142700,2018-09-17 08:05:00,EOSUSDT,5.4262,5.4221,5.4221,5.4261,3732.87,2018-09-17,08:05:00,5.4262,5.4221,5.4221,5.4261,373287
1537142760,2018-09-17 08:06:00,EOSUSDT,5.4365,5.4254,5.4275,5.4304,2110.51,2018-09-17,08:06:00,5.4365,5.4254,5.4275,5.4304,211051
1537142820,2018-09-17 08:07:00,EOSUSDT,5.4393,5.4308,5.4364,5.4314,3883.38,2018-09-17,08:07:00,5.4393,5.4308,5.4364,5.4314,388338
1537142880,2018-09-17 08:08:00,EOSUSDT,5.4443,5.4321,5.4352,5.4443,4942.96,2018-09-17,08:08:00,5.4443,5.4321,5.4352,5.4443,494296
1537142940,2018-09-17 08:09:00,EOSUSDT,5.4655,5.4447,5.4447,5.4654,22009.77,2018-09-17,08:09:00,5.4655,5.4447,5.4447,5.4654,2200977
1537143000,2018-09-17 08:10:00,EOSUSDT,5.4653,5.4253,5.4653,5.4329,9717.75,2018-09-17,08:10:00,5.4653,5.4253,5.4653,5.4329,971775
1537143060,2018-09-17 08:11:00,EOSUSDT,5.4508,5.4328,5.4328,5.4475,6450.08,2018-09-17,08:11:00,5.4508,5.4328,5.4328,5.4475,645008
1537143120,2018-09-17 08:12:00,EOSUSDT,5.4506,5.4373,5.449,5.444,7599.18,2018-09-17,08:12:00,5.4506,5.4373,5.449,5.444,759918
1537143180,2018-09-17 08:13:00,EOSUSDT,5.461,5.4396,5.4484,5.453,20482.87,2018-09-17,08:13:00,5.461,5.4396,5.4484,5.453,2048287
1537143240,2018-09-17 08:14:00,EOSUSDT,5.464,5.4541,5.4585,5.4541,18342.68,2018-09-17,08:14:00,5.464,5.4541,5.4585,5.4541,1834268
1537143300,2018-09-17 08:15:00,EOSUSDT,5.475,5.4616,5.4616,5.475,8772.32,2018-09-17,08:15:00,5.475,5.4616,5.4616,5.475,877232
